codigo_ibge,municipio,estado,mesorregiao,microrregiao,populacao_censo_2022,populacao_estimada_ultimo_ano,ano_estimativa,sexo_masculino,sexo_feminino,sexo_total,faixa_0_14,faixa_15_59,faixa_60_mais,faixa_total,cor_branca,cor_preta,cor_parda,cor_amarela,cor_indigena,cor_total,taxa_alfabetizacao_15_mais,taxa_analfabetismo_15_mais,pop_urbana,pop_rural,taxa_urbana,taxa_rural,renda_per_capita,pct_vulneraveis_pobreza,ano_renda_vulnerabilidade
2204154,Francisco Macedo,PI,Sudeste Piauiense,Alto Médio Canindé,2929,2985,2025,1461,1468,2929,581,1892,456,2929,648,166,2115,,,2929,72.66,27.34,1341,1588,45.78,54.22,273.23,59.04,2010
2204204,Francisco Santos,PI,Sudeste Piauiense,Pio IX,8237,8349,2025,4185,4052,8237,1582,5266,1389,8237,2838,585,4809,1,4,8237,77.49,22.51,4914,3323,59.66,40.34,330.49,54.02,2010
2204303,Fronteiras,PI,Sudeste Piauiense,Alto Médio Canindé,10259,10344,2025,5039,5220,10259,1902,6618,1739,10259,3837,496,5900,20,6,10259,76.33,23.67,7194,3065,70.12,29.88,380.62,54.54,2010
2204352,Geminiano,PI,Sudeste Piauiense,Picos,5445,5604,2025,2733,2712,5445,1108,3450,887,5445,1618,274,3552,1,,5445,73.37,26.63,1477,3968,27.13,72.87,208.67,72.89,2010
2204402,Gilbués,PI,Sudoeste Piauiense,Alto Médio Gurguéia,10892,11193,2025,5512,5380,10892,2760,6589,1543,10892,1440,1676,7739,15,22,10892,82.65,17.35,7579,3313,69.58,30.42,285.45,69.88,2010
2204501,Guadalupe,PI,Sudoeste Piauiense,Floriano,10270,10480,2025,5039,5231,10270,2263,6397,1610,10270,2414,1393,6423,11,28,10270,86.56,13.44,9687,583,94.32,5.68,426.79,46.97,2010
2204550,Guaribas,PI,Sudoeste Piauiense,São Raimundo Nonato,4276,4344,2025,2163,2113,4276,1018,2746,512,4276,997,235,3043,1,,4276,73.39,26.61,1385,2891,32.39,67.61,162.06,79.98,2010
2204600,Hugo Napoleão,PI,Centro-Norte Piauiense,Médio Parnaíba Piauiense,3518,3550,2025,1738,1780,3518,726,2179,613,3518,740,366,2411,,1,3518,74.28,25.72,2884,634,81.98,18.02,214.09,73.45,2010
2204659,Ilha Grande,PI,Norte Piauiense,Litoral Piauiense,9274,9522,2025,4677,4597,9274,2028,6000,1246,9274,2040,891,6312,1,30,9274,80.17,19.83,7851,1423,84.66,15.34,221.81,76.51,2010
2204709,Inhuma,PI,Centro-Norte Piauiense,Valença do Piauí,14958,15268,2025,7459,7499,14958,2833,9406,2719,14958,3495,1658,9768,4,33,14958,76.73,23.27,7600,7358,50.81,49.19,263.73,66.69,2010
2204808,Ipiranga do Piauí,PI,Sudeste Piauiense,Picos,9420,9627,2025,4655,4765,9420,1810,5999,1611,9420,2241,1593,5586,,,9420,81.87,18.13,6276,3144,66.62,33.38,261.12,64.88,2010
2204907,Isaías Coelho,PI,Sudeste Piauiense,Alto Médio Canindé,7774,7867,2025,3850,3924,7774,1793,4728,1253,7774,1044,2198,4531,,1,7774,72.33,27.67,2253,5521,28.98,71.02,397.98,77.12,2010
